Prog_Id,num_contrato,Prog_Del,Prog_Al,Prog_Monto
819,SIDUR-ED-16-060.96,20160801,20160831,190995.36
820,SIDUR-ED-16-060.96,20160901,20160929,176443.33
828,SIDUR-ED-16-064.149,20160502,20160531,95209.24
829,SIDUR-ED-16-064.149,20160601,20160626,95209.24
830,SIDUR-ED-16-063.148,20160502,20160531,95209.24
831,SIDUR-ED-16-063.148,20160601,20160620,95209.24
835,SIDUR-PF-15-065.34,20160411,20160430,580925.95
836,SIDUR-PF-15-065.34,20160501,20160531,1150425.72
837,SIDUR-PF-15-065.34,20160601,20160630,1120980.59
838,SIDUR-PF-15-065.34,20160701,20160731,1329412.64
839,SIDUR-PF-15-065.34,20160801,20160831,2263571.95
840,SIDUR-PF-15-065.34,20160901,20160907,39163.26
841,SIDUR-PF-15-080.22,20160215,20160229,512092.84
842,SIDUR-PF-15-080.22,20160301,20160331,1640323.38
843,SIDUR-PF-15-080.22,20160401,20160430,1355385.55
844,SIDUR-PF-15-080.22,20160501,20160531,1889150.14
850,SIDUR-ED-16-049.120,20160504,20160531,141182.94
851,SIDUR-ED-16-049.120,20160601,20160630,173419.01
852,SIDUR-ED-16-049.120,20160701,20160702,9313.52
853,SIDUR-ED-16-095.103,20160530,20160531,69083.05
854,SIDUR-ED-16-095.103,20160601,20160618,621747.5
865,SIDUR-ED-16-029.63,20160426,20160430,16816
866,SIDUR-ED-16-029.63,20160501,20160515,175248
867,SIDUR-ED-16-029.63,20160516,20160531,315809
868,SIDUR-ED-16-029.63,20160601,20160615,254854
869,SIDUR-ED-16-029.63,20160616,20160630,156910
880,SIDUR-ED-16-028.64,20160426,20160430,23168
881,SIDUR-ED-16-028.64,20160501,20160515,198354
882,SIDUR-ED-16-028.64,20160516,20160531,265167
883,SIDUR-ED-16-028.64,20160601,20160615,197750
884,SIDUR-ED-16-028.64,20160616,20160630,121620
885,SIDUR-ED-16-028.64,20160701,20160715,80011
886,SIDUR-ED-16-028.64,20160716,20160731,119219
887,SIDUR-ED-16-028.64,20160801,20160808,27885.66
895,SIDUR-ED-16-103.104,20160527,20160531,54900.77
896,SIDUR-ED-16-103.104,20160601,20160630,350215.56
897,SIDUR-ED-16-103.104,20160701,20160731,341098.49
898,SIDUR-ED-16-103.104,20160801,20160831,341098.49
899,SIDUR-ED-16-103.104,20160901,20160930,350215.56
900,SIDUR-ED-16-103.104,20161001,20161031,341098.49
901,SIDUR-ED-16-103.104,20161101,20161122,203350.96
902,SIDUR-ED-16-029.63,20160701,20160709,27513.08
915,SIDUR-ED-16-033.164,20160404,20160415,6548.97
916,SIDUR-ED-16-033.164,20160416,20160430,66798.48
917,SIDUR-ED-16-033.164,20160501,20160515,60249.48
918,SIDUR-ED-16-033.164,20160516,20160531,67599.02
919,SIDUR-ED-16-033.164,20160601,20160617,11491.08
920,SIDUR-ED-16-048.93,20160503,20160531,203756.62
921,SIDUR-ED-16-048.93,20160601,20160701,170166.68
922,SIDUR-ED-16-050.121,20160504,20160531,118285.46
923,SIDUR-ED-16-050.121,20160601,20160630,276459.81
924,SIDUR-ED-16-050.121,20160701,20160731,161809.28
925,SIDUR-ED-16-050.121,20160801,20160801,15348.46
930,SIDUR-ED-16-052.124,20160506,20160515,7587
931,SIDUR-ED-16-052.124,20160516,20160531,67358
932,SIDUR-ED-16-052.124,20160601,20160615,108060
933,SIDUR-ED-16-052.124,20160616,20160630,56293
934,SIDUR-ED-16-052.124,20160701,20160715,56293
935,SIDUR-ED-16-052.124,20160716,20160731,22692
936,SIDUR-ED-16-052.124,20160801,20160803,9979.72
937,SIDUR-ED-16-053.168,20160414,20160430,8595.03
938,SIDUR-ED-16-053.168,20160501,20160515,89940.94
939,SIDUR-ED-16-053.168,20160516,20160531,81345.9
940,SIDUR-ED-16-053.168,20160601,20160615,91716.74
941,SIDUR-ED-16-053.168,20160616,20160627,16104.59
942,SIDUR-ED-16-062.174,20160419,20160425,55332.24
943,SIDUR-ED-16-062.174,20160426,20160502,37724.27
944,SIDUR-ED-16-062.174,20160503,20160509,68820.61
945,SIDUR-ED-16-062.174,20160510,20160516,31096.36
946,SIDUR-ED-16-062.174,20160517,20160523,15944.29
947,SIDUR-ED-16-062.174,20160524,20160530,15944.3
948,SIDUR-ED-16-062.174,20160531,20160606,15944.3
